run_id,stoch_threshold,lookback_bars,atr_multiplier,trades,win_rate,profit_factor,sharpe,gross_pnl
1,40,5,0.5,36,0.3611111111111111,3.712519623747446,0.23952350592918928,93285.53
2,40,5,1.0,32,0.40625,4.223009732467334,0.2639965622721212,80438.91
3,40,5,1.5,28,0.42857142857142855,4.859028808028462,0.29694008593171495,73899.9
4,40,5,2.0,26,0.46153846153846156,4.906217202849861,0.30346667966796625,64426.92000000001
5,40,10,0.5,29,0.41379310344827586,5.979222621829447,0.31855819633487126,115811.49
6,40,10,1.0,29,0.41379310344827586,5.2168857584071775,0.3017832524036143,88174.28
7,40,10,1.5,27,0.4444444444444444,5.507984882514645,0.31603521736840906,77435.72999999998
8,40,10,2.0,25,0.48,5.630002674763099,0.32621963182508074,68028.12
9,40,20,0.5,29,0.41379310344827586,3.678639686661695,0.32141149068135094,43755.74
10,40,20,1.0,28,0.42857142857142855,5.281250993262732,0.2992136374559871,83511.88000000002
11,40,20,1.5,24,0.5,4.59193125972144,0.37909921389750834,40527.94
12,40,20,2.0,24,0.5,5.865754943878308,0.328047003195791,66074.13
13,50,5,0.5,44,0.36363636363636365,4.001604377741612,0.28357419689918617,140596.92
14,50,5,1.0,37,0.43243243243243246,4.823578637694909,0.33601545669441985,134284.77000000002
15,50,5,1.5,31,0.4838709677419355,6.543576749107104,0.3965838295326538,122448.02
16,50,5,2.0,30,0.5,6.190358990284234,0.38925013443246165,100951.6
17,50,10,0.5,36,0.4166666666666667,5.772666797145335,0.3481355753061787,159236.83
18,50,10,1.0,32,0.46875,6.720396195914666,0.38820640402165546,139283.40999999997
19,50,10,1.5,30,0.5,6.920711162814419,0.3949431242250224,117261.52
20,50,10,2.0,29,0.5172413793103449,6.642312447059363,0.3925550217525779,98584.74000000002
21,50,20,0.5,36,0.4166666666666667,4.0360294987296825,0.34657043950850736,68281.7
22,50,20,1.0,33,0.45454545454545453,6.252933346572933,0.36947337507142086,125375.90999999999
23,50,20,1.5,29,0.5172413793103449,5.547555786078814,0.43160707630334566,64354.189999999995
24,50,20,2.0,29,0.5172413793103449,6.522956920959078,0.38461045863596405,93400.05000000002
25,60,5,0.5,46,0.3695652173913043,4.327578176857985,0.3162362234524731,200622.54999999996
26,60,5,1.0,39,0.4358974358974359,5.0070692590577695,0.3653111717993936,186498.46000000002
27,60,5,1.5,33,0.48484848484848486,6.60671059544526,0.42732993803488534,166797.78999999998
28,60,5,2.0,32,0.5,6.2655288593074765,0.42224427078518845,136451.81
29,60,10,0.5,38,0.42105263157894735,5.7364370316317,0.37207192893624336,203485.15
30,60,10,1.0,34,0.47058823529411764,6.498995259871473,0.4128179284369604,176369.10999999996
31,60,10,1.5,32,0.5,6.663261516384851,0.42110504584557534,147759.41999999998
32,60,10,2.0,31,0.5161290322580645,6.400733890246008,0.42004316840059996,123896.94
33,60,20,0.5,38,0.42105263157894735,4.333289058979199,0.36524257276577965,92603.16999999998
34,60,20,1.0,35,0.45714285714285713,6.1441098422654505,0.3978618101736558,158842.19
35,60,20,1.5,31,0.5161290322580645,5.612417539267729,0.4441462597409027,84692.15
36,60,20,2.0,31,0.5161290322580645,6.306762176561154,0.41433023260951607,117258.96
37,70,5,0.5,48,0.375,4.343020734534468,0.3139280041450163,205980.49
38,70,5,1.0,41,0.43902439024390244,5.021977823322298,0.36136982809413076,191335.53999999998
39,70,5,1.5,35,0.4857142857142857,6.626252417320881,0.4207615113577268,171011.18000000002
40,70,5,2.0,34,0.5,6.299764467338928,0.4159666314701799,139889.88000000003
41,70,10,0.5,40,0.425,5.699624736679693,0.36559040349483785,207277.09
42,70,10,1.0,36,0.4722222222222222,6.474648264450422,0.40471757900254995,179721.37000000005
43,70,10,1.5,34,0.5,6.653052423288281,0.41261549665025715,150613.88
44,70,10,2.0,33,0.5151515151515151,6.407729951679242,0.4116719890147209,126327.6
45,70,20,0.5,40,0.425,4.332905417005575,0.359971160399095,94736.37
46,70,20,1.0,37,0.4594594594594595,6.128579613168523,0.3912377290279553,161934.85
47,70,20,1.5,33,0.5151515151515151,5.6236160313548345,0.43547957799495,86636.30000000002
48,70,20,2.0,33,0.5151515151515151,6.315440513068946,0.40664420067988105,119596.88
49,80,5,0.5,56,0.375,3.9956226999358724,0.30172465196626613,259260.65999999997
50,80,5,1.0,48,0.4166666666666667,4.573426833138635,0.3489421416837844,232847.78
51,80,5,1.5,41,0.4634146341463415,6.1961372544090825,0.4111469296169099,214983.31999999995
52,80,5,2.0,40,0.475,5.867592001559885,0.4089061572078096,171501.66999999998
53,80,10,0.5,49,0.40816326530612246,4.541628197060905,0.3305062889643405,254400.82
54,80,10,1.0,44,0.4318181818181818,5.195639336512615,0.37295503437308924,213717.97999999995
55,80,10,1.5,41,0.4634146341463415,5.7237801538892485,0.39011890468958105,187184.04
56,80,10,2.0,39,0.48717948717948717,5.990701182237482,0.40474686790143344,157361.25
57,80,20,0.5,47,0.425531914893617,3.8618852198299365,0.33728913110458086,106620.65
58,80,20,1.0,43,0.4418604651162791,5.540214536241522,0.3804262154216393,181459.38999999996
59,80,20,1.5,39,0.48717948717948717,5.10245240359747,0.4147972968044236,98345.62999999999
60,80,20,2.0,39,0.48717948717948717,5.619369928824882,0.3925480219683543,133151.86
